Week, Chapter, URL
0, Preface, https://www.nltk.org/book/ch00.html
1, Language Processing and Python, https://www.nltk.org/book/ch01.html
2, Accessing Text Corpora and Lexical Resources, https://www.nltk.org/book/ch02.html
3, Processing Raw Text, https://www.nltk.org/book/ch03.html
4, Writing Structured Programs, https://www.nltk.org/book/ch04.html
5, Categorizing and Tagging Words, https://www.nltk.org/book/ch05.html
6, Learning to Classify Text, https://www.nltk.org/book/ch06.html
7, Extracting Information from Text, https://www.nltk.org/book/ch07.html
8, Analyzing Sentence Structure, https://www.nltk.org/book/ch08.html
9, Building Feature Based Grammars, https://www.nltk.org/book/ch09.html
10, Analyzing the Meaning of Sentences, https://www.nltk.org/book/ch10.html
11, Managing Linguistic Data, https://www.nltk.org/book/ch11.html
12, Afterword: Facing the Language Challenge, https://www.nltk.org/book/ch12.html